Shorthand	DOI	Authors	Journal	Title	Date	bioRxiv DOI	Reported cells total	Organism	Tissue	Technique	Data location	Panel size	Measurement	Cell source	Disease	Contrasts	Developmental stage	Number of reported cell types or clusters	Cell clustering	Pseudotime	RNA Velocity	PCA	tSNE	H5AD location	Isolation	BC --> Cell ID _OR_ BC --> Cluster ID	Number individuals
BICCN et al bioRxiv	10.1101/2020.10.19.343129	BRAIN Initiative Cell Census Network (BICCN), Ricky S. Adkins, Andrew I. Aldridge, Shona Allen, Seth A. Ament, Xu An, Ethan Armand, Giorgio A. Ascoli, Trygve E. Bakken, Anita Bandrowski, Samik Banerjee, Nikolaos Barkas, Anna Bartlett, Helen S. Bateup, M. Margarita Behrens, Philipp Berens, Jim Berg, Matteo Bernabucci, Yves Bernaerts, Darren Bertagnolli, Tommaso Biancalani, Lara Boggeman, A. Sina Booeshaghi, Ian Bowman, Héctor Corrada Bravo, Cathryn René Cadwell, Edward M. Callaway, Benjamin Carlin, Carolyn O'Connor, Robert Carter, Tamara Casper, Rosa G. Castanon, Jesus Ramon Castro, Rebecca K. Chance, Apaala Chatterjee, Huaming Chen, Jerold Chun, Carlo Colantuoni, Jonathan Crabtree, Heather Creasy, Kirsten Crichton, Megan Crow, Florence D. D'Orazi, Tanya L. Daigle, Rachel Dalley, Nick Dee, Kylee Degatano, Benjamin Dichter, Dinh Diep, Liya Ding, Song-Lin Ding, Bertha Dominguez, Hong-Wei Dong, Weixiu Dong, Elizabeth L. Dougherty, Sandrine Dudoit, Joseph R. Ecker, Stephen W. Eichhorn, Rongxin Fang, Victor Felix, Guoping Feng, Zhao Feng, Stephan Fischer, Conor Fitzpatrick, Olivia Fong, Nicholas N. Foster, William Galbavy, James C. Gee, Satrajit S. Ghosh, Michelle Giglio, Thomas H. Gillespie, Jesse Gillis, Melissa Goldman, Jeff Goldy, Hui Gong, Lin Gou, Michael Grauer, Yaroslav O. Halchenko, Julie A. Harris, Leonard Hartmanis, Joshua T. Hatfield, Mike Hawrylycz, Brian Helba, Brian R. Herb, Ronna Hertzano, Houri Hintiryan, Karla E. Hirokawa, Dirk Hockemeyer, Rebecca D. Hodge, Greg Hood, Gregory D. Horwitz, Xiaomeng Hou, Lijuan Hu, Qiwen Hu, Z. Josh Huang, Bingxing Huo, Tony Ito-Cole, Matthew Jacobs, Xueyan Jia, Shengdian Jiang, Tao Jiang, Xiaolong Jiang, Xin Jin, Nikolas L. Jorstad, Brian E. Kalmbach, Jayaram Kancherla, C. Dirk Keene, Kathleen Kelly, Farzaneh Khajouei, Peter V. Kharchenko, Gukhan Kim, Andrew L. Ko, Dmitry Kobak, Kishori Konwar, Daniel J. Kramer, Fenna M. Krienen, Matthew Kroll, Xiuli Kuang, Hsien-Chi Kuo, Blue B. Lake, Rachael Larsen, Kanan Lathia, Sophie Laturnus, Angus Y. Lee, Cheng-Ta Lee, Kuo-Fen Lee, Ed S. Lein, Phil Lesnar, Anan Li, Xiangning Li, Xu Li, Yang Eric Li, Yaoyao Li, Yuanyuan Li, Byungkook Lim, Sten Linnarsson, Christine S. Liu, Hanqing Liu, Lijuan Liu, Jacinta D. Lucero, Chongyuan Luo, Qingming Luo, Evan Z. Macosko, Anup Mahurkar, Maryann E. Martone, Katherine S. Matho, Steven A. McCarroll, Carrie McCracken, Delissa McMillen, Elanine Miranda, Partha P Mitra, Paula Assakura Miyazaki, Judith Mizrachi, Stephanie Mok, Eran A. Mukamel, Shalaka Mulherkar, Naeem M. Nadaf, Maitham Naeemi, Arun Narasimhan, Joseph R. Nery, Lydia Ng, John Ngai, Thuc Nghi Nguyen, Lance Nickel, Philip R. Nicovich, Sheng-Yong Niu, Vasilis Ntranos, Michael Nunn, Dustin Olley, Joshua Orvis, Julia K. Osteen, Pavel Osten, Scott F. Owen, Lior Pachter, Ramesh Palaniswamy, Carter R. Palmer, Yan Pang, Hanchuan Peng, Thanh Pham, Antonio Pinto-Duarte, Nongluk Plongthongkum, Olivier Poirion, Sebastian Preissl, Elizabeth Purdom, Lei Qu, Mohammad Rashid, Nora M. Reed, Aviv Regev, Bing Ren, Miao Ren, Christine Rimorin, Davide Risso, Angeline C. Rivkin, Rodrigo Muñoz-Castañeda, William J. Romanow, Alexander J. Ropelewski, Hector Roux de Bézieux, Zongcai Ruan, Rickard Sandberg, Steven Savoia, Federico Scala, Michael Schor, Elise Shen, Kimberly Siletti, Jared B. Smith, Kimberly Smith, Saroja Somasundaram, Yuanyuan Song, Staci A. Sorensen, David A. Stafford, Kelly Street, Josef Sulc, Susan Sunkin, Valentine Svensson, Pengcheng Tan, Zheng Huan Tan, Bosiljka Tasic, Carol Thompson, Wei Tian, Timothy L. Tickle, Michael Tieu, Jonathan T. Ting, Andreas Savas Tolias, Amy Torkelson, Herman Tung, Eeshit Dhaval Vaishnav, Koen Van den Berge, Cindy T.J. van Velthoven, Charles R. Vanderburg, Matthew B. Veldman, Minh Vu, Wayne Wakeman, Peng Wang, Quanxin Wang, Xinxin Wang, Yimin Wang, Yun Wang, Joshua D. Welch, Owen White, Elora Williams, Fangming Xie, Peng Xie, Feng Xiong, X. William Yang, Anna Marie Yanny, Zizhen Yao, Lulu Yin, Yang Yu, Jing Yuan, Hongkui Zeng, Kun Zhang, Meng Zhang, Zhuzhu Zhang, Sujun Zhao, Xuan Zhao, Jingtian Zhou, Xiaowei Zhuang, Brian Zingg	bioRxiv	A multimodal cell census and atlas of the mammalian primary motor cortex	20201022	10.1101/2020.10.19.343129	""	Mouse	Brain	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Xu et al ATVB	10.1161/ATVBAHA.120.314789	Kang Xu, Shangbo Xie, Yuming Huang, Tingwen Zhou, Ming Liu, Peng Zhu, Chunli Wang, Jiawei Shi, Fei Li, Frank W. Sellke, Nianguo Dong	ATVB	Cell-Type Transcriptome Atlas of Human Aortic Valves Reveal Cell Heterogeneity and Endothelial to Mesenchymal Transition Involved in Calcific Aortic Valve Disease	20201022	""	34,632	Human	Heart	Chromium	PRJNA562645	""	RNA-seq	""	Calcific aortic valve disease	""	""		""	""	""	""	""	""	""	""	6
Kyriakos Vorkas et al bioRxiv	10.1101/2020.10.22.351262	Charles Kyriakos Vorkas, Chirag Krishna, Kelin Li, Jeffrey Aubé, Daniel W. Fitzgerald, Linas Mazutis, Christina S. Leslie, Michael S. Glickman	bioRxiv	Single cell transcriptional profiling reveals helper, effector, and regulatory MAIT cell populations enriched during homeostasis and activation	20201023	10.1101/2020.10.22.351262	76,000	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Ma et al Cell	10.1016/j.cell.2020.09.056	Sai Ma, Bing Zhang, Lindsay M. LaFave, Andrew S. Earl, Zachary Chiang, Yan Hu, Jiarui Ding, Alison Brack, Vinay K. Kartha, Tristan Tay, Travis Law, Caleb Lareau, Ya-Chieh Hsu, Aviv Regev, Jason D. Buenrostro	Cell	Chromatin Potential Identified by Shared Single-Cell Profiling of RNA and Chromatin	20201023	""	34,774	Mouse	Skin	SHARE-seq	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Rasouli et al SImmunology	10.1126/sciimmunol.aba9953	Javad Rasouli, Giacomo Casella, Satoshi Yoshimura, Weifeng Zhang, Dan Xiao, James Garifallou, Michael V. Gonzalez, Alice Wiedeman, Anna Kus, Elisabeth R. Mari, Paolo Fortina, Hakon Hakonarson, S. Alice Long, Guang-Xian Zhang, Bogoljub Ciric, Abdolmohamad Rostami	Sci. Immunol.	A distinct GM-CSF+ T helper cell subset requires T-bet to adopt a TH1 phenotype and promote neuroinflammation	20201024	""	70,000	Human	Blood	Chromium	GSE150132	""	RNA-seq	Memory T cells	""	""	""		""	""	""	""	Yes	""	""	""	
Steele et al NCancer	10.1038/s43018-020-00121-4	Nina G. Steele, Eileen S. Carpenter, Samantha B. Kemp, Veerin R. Sirihorachai, Stephanie The, Lawrence Delrosario, Jenny Lazarus, El-ad David Amir, Valerie Gunchick, Carlos Espinoza, Samantha Bell, Lindsey Harris, Fatima Lima, Valerie Irizarry-Negron, Daniel Paglia, Justin Macchia, Angel Ka Yan Chu, Heather Schofield, Erik-Jan Wamsteker, Richard Kwon, Allison Schulman, Anoop Prabhu, Ryan Law, Arjun Sondhi, Jessica Yu, Arpan Patel, Katelyn Donahue, Hari Nathan, Clifford Cho, Michelle A. Anderson, Vaibhav Sahai, Costas A. Lyssiotis, Weiping Zou, Benjamin L. Allen, Arvind Rao, Howard C. Crawford, Filip Bednar, Timothy L. Frankel, Marina Pasca di Magliano	Nat Cancer	Multimodal mapping of the tumor and peripheral blood immune landscape in human pancreatic cancer	20201026	""	124,898	Human	Blood, Pancreas	Chromium	GSE155698	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Kolodziejczyk et al NMedicine	10.1038/s41591-020-1102-2	Aleksandra A. Kolodziejczyk, Sara Federici, Niv Zmora, Gayatree Mohapatra, Mally Dori-Bachash, Shanni Hornstein, Avner Leshem, Debby Reuveni, Ehud Zigmond, Ana Tobar, Tomer Meir Salame, Alon Harmelin, Amir Shlomai, Hagit Shapiro, Ido Amit, Eran Elinav	Nat Med	Acute liver failure is regulated by MYC- and microbiome-dependent programs	20201026	""	56,527	Mouse	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Nieto et al bioRxiv	10.1101/2020.10.26.354829	Paula Nieto, Marc Elosua-Bayes, Juan L. Trincado, Domenica Marchese, Ramon Massoni-Badosa, Maria Salvany, Ana Henriques, Elisabetta Mereu, Catia Moutinho, Sara Ruiz, Patricia Lorden, Vanessa T. Chin, Dominik Kaczorowski, Chia-Ling Chan, Richard Gallagher, Angela Chou, Ester Planas-Rigol, Carlota Rubio-Perez, Ivo Gut, Josep M. Piulats, Joan Seoane, Joseph E. Powell, Eduard Batlle, Holger Heyn	bioRxiv	A Single-Cell Tumor Immune Atlas for Precision Oncology	20201027	10.1101/2020.10.26.354829	500,000	Human	""	""	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Guldner et al Cell	10.1016/j.cell.2020.09.064	Ian H. Guldner, Qingfei Wang, Lin Yang, Samantha M. Golomb, Zhuo Zhao, Jacqueline A. Lopez, Abigail Brunory, Erin N. Howe, Yizhe Zhang, Bhavana Palakurthi, Martin Barron, Hongyu Gao, Xiaoling Xuei, Yunlong Liu, Jun Li, Danny Z. Chen, Gary E. Landreth, Siyuan Zhang	Cell	CNS-Native Myeloid Cells Drive Immune Suppression in the Brain Metastatic Niche through Cxcl10	20201027	""	""	Mouse	Brain	CITE-seq	GSE134285	""	RNA-seq	Brain immune cells	""	""	""		""	""	""	""	""	""	""	""	
Feng Ma et al bioRxiv	10.1101/2020.10.27.357715	Wei Feng Ma, Chani J. Hodonsky, Adam W. Turner, Doris Wong, Yipei Song, Nelson B. Barrientos, Clint L. Miller	bioRxiv	Single-cell RNA-seq analysis of human coronary arteries using an enhanced workflow reveals SMC transitions and candidate drug targets	20201028	10.1101/2020.10.27.357715	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Lin et al NCommunications	10.1038/s41467-020-19234-6	Ziguang Lin, Suoqin Jin, Jefferson Chen, Zhuorui Li, Zhongqi Lin, Li Tang, Qing Nie, Bogi Andersen	Nat Commun	Murine interfollicular epidermal differentiation is gradualistic with GRHL3 controlling progression from stem to transition cell states	20201028	""	29,796	Mouse	Skin	Chromium	GSE154579	""	RNA-seq	Back skin, epidermis	""	""	E14.5, E16.5, P0		""	""	""	""	Yes	""	""	""	
Lotto et al Cell	10.1016/j.cell.2020.09.012	Jeremy Lotto, Sibyl Drissler, Rebecca Cullum, Wei Wei, Manu Setty, Erin M. Bell, Stéphane C. Boutet, Sonja Nowotschin, Ying-Yi Kuo, Vidur Garg, Dana Pe’er, Deanna M. Church, Anna-Katerina Hadjantonakis, Pamela A. Hoodless	Cell	Single-Cell Transcriptomics Reveals Early Emergence of Liver Parenchymal and Non-parenchymal Cell Lineages	20201029	""	45,334	Mouse	""	""	""	""	RNA-seq	""	""	""	E7.5, E8.75, E10.5		""	""	""	""	""	""	""	""	
Ma et al SAdvances	10.1126/sciadv.aba5536	Chao Ma, Matthew T. Witkowski, Jacob Harris, Igor Dolgalev, Sheetal Sreeram, Weiyi Qian, Jie Tong, Xin Chen, Iannis Aifantis, Weiqiang Chen	Sci. Adv.	Leukemia-on-a-chip: Dissecting the chemoresistance mechanisms in B cell acute lymphoblastic leukemia bone marrow niche	20201030	""	14,650	Human	Bone marrow	Chromium	GSE138811	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Sumida et al bioRxiv	10.1101/2020.10.30.362947	Tomokazu S. Sumida, Shai Dulberg, Jonas Schupp, Helen A. Stillwell, Pierre-Paul Axisa, Michela Comi, Matthew Lincoln, Avraham Unterman, Naftali Kaminski, Asaf Madi, Vijay K. Kuchroo, David A. Hafler	bioRxiv	Type I Interferon Transcriptional Network Regulates Expression of Coinhibitory Receptors in Human T cells	20201031	10.1101/2020.10.30.362947	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Marsh et al eLife	10.7554/eLife.60266	Bryan Marsh, Robert Blelloch	eLife	Single nuclei RNA-seq of mouse placental labyrinth development	20201103	""	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Gillotay et al EMBOReports	10.15252/embr.202050612	Pierre Gillotay, Meghna Shankar, Benoit Haerlingen, Eski Sema Elif, Macarena Pozo‐Morales, Inés Garteizgogeascoa, Susanne Reinhardt, Annekathrin Kränkel, Juliane Bläsche, Andreas Petzold, Nikolay Ninov, Gokul Kesavan, Christian Lange, Michael Brand, Anne Lefort, Frédérick Libert, Vincent Detours, Sabine Costagliola, Singh Sumeet Pal	EMBO Rep	Single‐cell transcriptome analysis reveals thyrocyte diversity in the zebrafish thyroid gland	20201103	""	""	Zebrafish	Thryoid	Chromium	GSE133466	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Moreira et al Nature	10.1038/s41586-020-2890-8	Lucia M. Moreira, Abhijit Takawale, Mohit Hulsurkar, David A. Menassa, Agne Antanaviciute, Satadru K. Lahiri, Neelam Mehta, Neil Evans, Constantinos Psarros, Paul Robinson, Alexander J. Sparrow, Marc-Antoine Gillis, Neil Ashley, Patrice Naud, Javier Barallobre-Barreiro, Konstantinos Theofilatos, Angela Lee, Mary Norris, Michele V. Clarke, Patricia K. Russell, Barbara Casadei, Shoumo Bhattacharya, Jeffrey D. Zajac, Rachel A. Davey, Martin Sirois, Adam Mead, Alison Simmons, Manuel Mayr, Rana Sayeed, George Krasopoulos, Charles Redwood, Keith M. Channon, Jean-Claude Tardif, Xander H. T. Wehrens, Stanley Nattel, Svetlana Reilly	Nature	Paracrine signalling by cardiac calcitonin controls atrial fibrogenesis and arrhythmia	20201104	""	14,742	Human	Cullture	Chromium & Smart-seq2	GSE148507	""	RNA-seq	Atrial human fibroblasts	""	""	""		""	""	""	""	Yes	""	""	""	
Neset Özel et al Nature	10.1038/s41586-020-2879-3	Mehmet Neset Özel, Félix Simon, Shadi Jafari, Isabel Holguera, Yen-Chung Chen, Najate Benhra, Rana Naja El-Danaf, Katarina Kapuralin, Jennifer Amy Malin, Nikolaos Konstantinides, Claude Desplan	Nature	Neuronal diversity and convergence in a visual system developmental atlas	20201104	""	275,000	Drosophila	Optic lobes	Chromium	GSE142787	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Li et al SAdvances	10.1126/sciadv.abd2068	Zhen Li, William A. Tyler, Ella Zeldich, Gabriel Santpere Baró, Mayumi Okamoto, Tianliuyun Gao, Mingfeng Li, Nenad Sestan, Tarik F. Haydar	Sci. Adv.	Transcriptional priming as a conserved mechanism of lineage diversification in the developing mouse and human neocortex	20201107	""	5,777	Mouse	Brain	""	""	""	RNA-seq	Neocortex	""	""	E15.5		""	""	""	""	""	""	""	""	
Willms et al bioRxiv	10.1101/2020.11.06.371609	Reegan J. Willms, Lena Ocampo Jones, Jennifer C. Hocking, Edan Foley	bioRxiv	A Cell Atlas of Microbe-Responsive Processes in the Zebrafish Intestine	20201107	""	""	Zebrafish	Intestine	Chromium	""	""	RNA-seq	""	""	""	""	18	Yes	No	No	Yes	Yes	""	""	""	
Mirizio et al ART	10.1186/s13075-020-02343-4	Emily Mirizio, Tracy Tabib, Xiao Wang, Wei Chen, Christopher Liu, Robert Lafyatis, Heidi Jacobe, Kathryn S. Torok	Arthritis Res Ther	Single-cell transcriptome conservation in a comparative analysis of fresh and cryopreserved human skin tissue: pilot in localized scleroderma	20201109	""	14,901	Human	Skin	Chromium	GSE160536	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Liu et al SReports	10.1038/s41598-020-76599-w	Zhouzerui Liu, Jinzhou Yuan, Anna Lasorella, Antonio Iavarone, Jeffrey N. Bruce, Peter Canoll, Peter A. Sims	Sci Rep	Integrating single-cell RNA-seq and imaging with SCOPE-seq2	20201110	""	""	""	""	SCOPE-seq2	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Scala et al Nature	10.1038/s41586-020-2907-3	Federico Scala, Dmitry Kobak, Matteo Bernabucci, Yves Bernaerts, Cathryn René Cadwell, Jesus Ramon Castro, Leonard Hartmanis, Xiaolong Jiang, Sophie Laturnus, Elanine Miranda, Shalaka Mulherkar, Zheng Huan Tan, Zizhen Yao, Hongkui Zeng, Rickard Sandberg, Philipp Berens, Andreas S. Tolias	Nature	Phenotypic variation of transcriptomic cell types in mouse motor cortex	20201112	""	1,329	Mouse	Brain	Patch-seq	http://data.nemoarchive.org/biccn/grant/zeng/tolias	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Cao et al Science	10.1126/science.aba7721	Junyue Cao, Diana R. O’Day, Hannah A. Pliner, Paul D. Kingsley, Mei Deng, Riza M. Daza, Michael A. Zager, Kimberly A. Aldinger, Ronnie Blecher-Gonen, Fan Zhang, Malte Spielmann, James Palis, Dan Doherty, Frank J. Steemers, Ian A. Glass, Cole Trapnell, Jay Shendure	Science	A human cell atlas of fetal gene expression	20201113	""	4,062,980	Human	Adrenal gland, Brain, Eye, Heart, Intestine, Kidney, Liver, Lung, Muscle, Pancreas, Placenta, Spleen, Stomach, Thymus	sci-RNA-seq3	GSE156793	""	RNA-seq	""	""	""	10w, 12.9w, 14.3w, 15.7w, 17.1w	657	Yes	Yes	No	Yes	No	https://storage.googleapis.com/h5ad/10.1126-science.aba7721/GSE156793_S3_gene_count.h5ad	""	""	121
Liu et al Cell	10.1016/j.cell.2020.10.026	Yang Liu, Mingyu Yang, Yanxiang Deng, Graham Su, Archibald Enninful, Cindy C. Guo, Toma Tebaldi, Di Zhang, Dongjoo Kim, Zhiliang Bai, Eileen Norris, Alisia Pan, Jiatong Li, Yang Xiao, Stephanie Halene, Rong Fan	Cell	High-Spatial-Resolution Multi-Omics Sequencing via Deterministic Barcoding in Tissue	20201113	10.1101/788992	""	Mouse	""	DBiT-seq	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Massri et al bioRxiv	10.1101/2020.11.12.380675	Abdull J. Massri, Laura Greenstreet, Anton Afanassiev, Alejandro Berrio Escobar, Gregory M. Wray, Geoffrey Schiebinger, David R. McClay	bioRxiv	Developmental Single-cell transcriptomics in the Lytechinus variegatus Sea Urchin Embryo	20201114	10.1101/2020.11.12.380675	50,935	Sea urchin	""	Chromium	""	""	RNA-seq	""	""	""	""	63	""	""	""	Yes	""	""	""	""	
Tosti et al bioRxiv	10.1053/j.gastro.2020.11.010	Luca Tosti, Yan Hang, Olivia Debnath, Sebastian Tiesmeyer, Timo Trefzer, Katja Steiger, Foo Wei Ten, Sören Lukassen, Simone Ballke, Anja A. Kühl, Simone Spieckermann, Rita Bottino, Naveed Ishaque, Wilko Weichert, Seung K. Kim, Roland Eils, Christian Conrad	Gastroenterology	Single nucleus and in situ RNA sequencing reveals cell topographies in the human pancreas	20201116	10.1101/733964	111,169	Human	Pancreas	""	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Khatun et al JEM	10.1084/jem.20200650	Achia Khatun, Moujtaba Y. Kasmani, Ryan Zander, David M. Schauder, Jeremy P. Snook, Jian Shen, Xiaopeng Wu, Robert Burns, Yi-Guang Chen, Chien-Wei Lin, Matthew A. Williams, Weiguo Cui	Journal of Experimental Medicine	Single-cell lineage mapping of a diverse virus-specific naive CD4 T cell repertoire	20201117	""	""	""	""	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Ursu et al bioRxiv	10.1101/2020.11.16.383307	Oana Ursu, James T. Neal, Emily Shea, Pratiksha I. Thakore, Livnat Jerby-Arnon, Lan Nguyen, Danielle Dionne, Celeste Diaz, Julia Bauman, Mariam Mounir Mosaad, Christian Fagre, Andrew O. Giacomelli, Seav Huong Ly, Orit Rozenblatt-Rosen, William C. Hahn, Andrew J. Aguirre, Alice H. Berger, Aviv Regev, Jesse S. Boehm	bioRxiv	Massively parallel phenotyping of variant impact in cancer with Perturb-seq reveals a shift in the spectrum of cell states induced by somatic mutations	20201118	10.1101/2020.11.16.383307	162,314	Human	Lung	Perturb-seq	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Travaglini et al Nature	10.1038/s41586-020-2922-4	Kyle J. Travaglini, Ahmad N. Nabhan, Lolita Penland, Rahul Sinha, Astrid Gillich, Rene V. Sit, Stephen Chang, Stephanie D. Conley, Yasuo Mori, Jun Seita, Gerald J. Berry, Joseph B. Shrager, Ross J. Metzger, Christin S. Kuo, Norma Neff, Irving L. Weissman, Stephen R. Quake, Mark A. Krasnow	Nature	A molecular cell atlas of the human lung from single-cell RNA sequencing	20201118	10.1101/742320	75,000	Human	Blood, Lung	Chromium & Smart-seq2	""	""	RNA-seq	""	""	""	""	58	""	""	""	""	""	""	""	""	
Batiuk et al bioRxiv	10.1101/2020.11.17.386458	Mykhailo Y. Batiuk, Teadora Tyler, Shenglin Mei, Rasmus Rydbirk, Viktor Petukhov, Dora Sedmak, Erzsebet Frank, Virginia Feher, Nikola Habek, Qiwen Hu, Anna Igolkina, Lilla Roszik, Ulrich Pfisterer, Zdravko Petanjek, Istvan Adorjan, Peter V. Kharchenko, Konstantin Khodosevich	bioRxiv	Selective vulnerability of supragranular layer neurons in schizophrenia	20201120	10.1101/2020.11.17.386458	290,000	Human	Brain	Chromium	""	""	RNA-seq	Dorsolateral prefrontal cortex (dlPFC)	Schizophrenia	""	""	36	Yes	No	No	Yes	No	""	""	""	18
Shi et al Proteomics	10.1002/pmic.202000060	Fanghao Shi, Fei Jia, Zewen Wei, Yan Ma, Zhiguo Fang, Weikai Zhang, Zhiyuan Hu	Proteomics	A Microfluidic Chip for Efficient Circulating Tumor Cells Enrichment, Screening and Single‐cell RNA Sequencing	20201121	""	26	Human	Blood, Culture	SMARTer	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
Chopp et al Immunity	10.1016/j.immuni.2020.10.024	Laura B. Chopp, Vishaka Gopalan, Thomas Ciucci, Allison Ruchinskas, Zachary Rae, Manon Lagarde, Yayi Gao, Caiyi Li, Marita Bosticardo, Francesca Pala, Ferenc Livak, Michael C. Kelly, Sridhar Hannenhalli, Rémy Bosselut	Immunity	An Integrated Epigenomic and Transcriptomic Map of Mouse and Human αβ T Cell Development	20201125	""	""	Human, Mouse	Thymus	""	""	""	""	""	""	""	""		""	""	""	""	""	""	""	""	
Bernardes et al Immunity	10.1016/j.immuni.2020.11.017	Joana P. Bernardes, Neha Mishra, Florian Tran, Thomas Bahmer, Lena Best, Johanna I. Blase, Dora Bordoni, Jeanette Franzenburg, Ulf Geisen, Jonathan Josephs-Spaulding, Philipp Köhler, Axel Künstner, Elisa Rosati, Anna C. Aschenbrenner, Petra Bacher, Nathan Baran, Teide Boysen, Burkhard Brandt, Niklas Bruse, Jonathan Dörr, Andreas Dräger, Gunnar Elke, David Ellinghaus, Julia Fischer, Michael Forster, Andre Franke, Sören Franzenburg, Norbert Frey, Anette Friedrichs, Janina Fuß, Andreas Glück, Jacob Hamm, Finn Hinrichsen, Marc P. Hoeppner, Simon Imm, Ralf Junker, Sina Kaiser, Ying H. Kan, Rainer Knoll, Christoph Lange, Georg Laue, Clemens Lier, Matthias Lindner, Georgios Marinos, Robert Markewitz, Jacob Nattermann, Rainer Noth, Peter Pickkers, Klaus F. Rabe, Alina Renz, Christoph Röcken, Jan Rupp, Annika Schaffarzyk, Alexander Scheffold, Jonas Schulte-Schrepping, Domagoj Schunk, Dirk Skowasch, Thomas Ulas, Klaus-Peter Wandinger, Michael Wittig, Johannes Zimmermann, Hauke Busch, Bimba F. Hoyer, Christoph Kaleta, Jan Heyckendorf, Matthijs Kox, Jan Rybniker, Stefan Schreiber, Joachim L. Schultze, Philip Rosenstiel, Nicholas E. Banovich, Tushar Desai, Oliver Eickelberg, Muzlifa Haniffa, Peter Horvath, Jonathan A. Kropski, Robert Lafyatis, Joakim Lundeberg, Kerstin Meyer, Martijn C. Nawijn, Marko Nikolic, Jose Ordovas Montanes, Dana Pe’er, Purushothama Rao Tata, Emma Rawlins, Aviv Regev, Paul Reyfman, Christos Samakovlis, Joachim Schultze, Alex Shalek, Douglas Shepherd, Jason Spence, Sarah Teichmann, Fabian Theis, Alexander Tsankov, Maarten van den Berge, Michael von Papen, Jeffrey Whitsett, Laure Emmanuelle Zaragosi, Angel Angelov, Robert Bals, Alexander Bartholomäus, Anke Becker, Daniela Bezdan, Ezio Bonifacio, Peer Bork, Thomas Clavel, Maria Colme-Tatche, Andreas Diefenbach, Alexander Dilthey, Nicole Fischer, Konrad Förstner, Julia-Stefanie Frick, Julien Gagneur, Alexander Goesmann, Torsten Hain, Michael Hummel, Stefan Janssen, Jörn Kalinowski, René Kallies, Birte Kehr, Andreas Keller, Sarah Kim-Hellmuth, Christoph Klein, Oliver Kohlbacher, Jan O. Korbel, Ingo Kurth, Markus Landthaler, Yang Li, Kerstin Ludwig, Oliwia Makarewicz, Manja Marz, Alice McHardy, Christian Mertes, Markus Nöthen, Peter Nürnberg, Uwe Ohler, Stephan Ossowski, Jörg Overmann, Silke Peter, Klaus Pfeffer, Anna R. Poetsch, Alfred Pühler, Niklaus Rajewsky, Markus Ralser, Olaf Rieß, Stephan Ripke, Ulisses Nunes da Rocha, Philip Rosenstiel, Antoine-Emmanuel Saliba, Leif Erik Sander, Birgit Sawitzki, Philipp Schiffer, Eva-Christina Schulte, Joachim L. Schultze, Alexander Sczyrba, Oliver Stegle, Jens Stoye, Fabian Theis, Janne Vehreschild, Jörg Vogel, Max von Kleist, Andreas Walker, Jörn Walter, Dagmar Wieczorek, John Ziebuhr	Immunity	Longitudinal Multi-omics Analyses Identify Responses of Megakaryocytes, Erythroid Cells, and Plasmablasts as Hallmarks of Severe COVID-19	20201126	""	358,000	Human	Blood	Chromium	""	""	RNA-seq	""	COVID-19	""	""		""	""	""	""	""	""	""	""	
Jin et al Science	10.1126/science.aaz6063	Xin Jin, Sean K. Simmons, Amy Guo, Ashwin S. Shetty, Michelle Ko, Lan Nguyen, Vahbiz Jokhi, Elise Robinson, Paul Oyler, Nathan Curry, Giulio Deangeli, Simona Lodato, Joshua Z. Levin, Aviv Regev, Feng Zhang, Paola Arlotta	Science	In vivo Perturb-Seq reveals neuronal and glial abnormalities associated with autism risk genes	20201127	10.1101/791525	46,770	Mouse	Brain	Perturb-seq	""	""	RNA-seq	""	""	""	""		""	""	""	""	""	""	""	""	
